Дата;Цена;Изменение;Капитализация в млрд. руб
Дек. '19;103,5;0,0064;114,9
Нояб. '19;102,84;-0,038;114,9
Окт. '19;106,9;0,0361;114,9
Сент. '19;103,18;-0,0598;114,9
Авг. '19;109,74;0,0262;114,9
Июль '19;106,94;0,0509;114,9
Июнь '19;101,76;0,0849;114,9
Май '19;93,8;-0,0262;114,9
Апр. '19;96,32;0,0002;114,9
Март '19;96,3;-0,0082;114,9
Февр. '19;97,1;-0,1003;114,9
Янв. '19;107,92;0,0666;114,9
Дек. '18;101,18;-0,1156;112,4
Нояб. '18;114,4;0,1763;112,4
Окт. '18;97,25;-0,0873;112,4
Сент. '18;106,55;-0,0775;112,4
Авг. '18;115,5;-0,0606;112,4
Июль '18;122,95;-0,1205;112,4
Июнь '18;139,8;-0,0071;112,4
Май '18;140,8;-0,0222;112,4
Апр. '18;144;-0,0746;112,4
Март '18;155,6;0,1;112,4
Февр. '18;141,45;0,0611;112,4
Янв. '18;133,3;-0,0372;112,4
Дек. '17;138,45;-0,0921;153,8
Нояб. '17;152,5;-0,1528;153,8
Окт. '17;180;-0,0215;153,8
Сент. '17;183,95;-0,0409;153,8
Авг. '17;191,8;-0,0491;153,8
Июль '17;201,7;0,0328;153,8
Июнь '17;195,3;0,0355;153,8
Май '17;188,6;0,0731;153,8
Апр. '17;175,75;0,0461;153,8
Март '17;168;0,0169;153,8
Февр. '17;165,2;-0,0515;153,8
Янв. '17;174,17;0,1395;153,8
Дек. '16;152,85;0,1336;169,9
Нояб. '16;134,83;0,0376;169,9
Окт. '16;129,95;0,1113;169,9
Сент. '16;116,93;0,1853;169,9
Авг. '16;98,65;0,1511;169,9
Июль '16;85,7;0,0023;169,9
Июнь '16;85,5;0,0465;169,9
Май '16;81,7;0,0545;169,9
Апр. '16;77,48;0,0403;169,9
Март '16;74,48;0,3044;169,9
Февр. '16;57,1;0,1307;169,9
Янв. '16;50,5;-0,0998;169,9
