Дата;Цена;Изменение;Капитализация в млрд. руб
Дек. '19;84,32;0,0824;621
Нояб. '19;77,9;0,0455;621
Окт. '19;74,51;0,0001;621
Сент. '19;74,5;0,0032;621
Авг. '19;74,26;-0,0888;621
Июль '19;81,5;-0,0528;621
Июнь '19;86,04;-0,0239;621
Май '19;88,15;-0,0645;621
Апр. '19;94,23;0,0196;621
Март '19;92,42;-0,0282;621
Февр. '19;95,1;-0,0351;621
Янв. '19;98,56;-0,0006;621
Дек. '18;98,62;-0,0101;726,3
Нояб. '18;99,63;-0,0027;726,3
Окт. '18;99,9;-0,0645;726,3
Сент. '18;106,79;0,0533;726,3
Авг. '18;101,39;0,0422;726,3
Июль '18;97,28;-0,0272;726,3
Июнь '18;100;0,1325;726,3
Май '18;88,3;-0,0146;726,3
Апр. '18;89,61;-0,026;726,3
Март '18;92;0,066;726,3
Февр. '18;86,3;0,0589;726,3
Янв. '18;81,5;0,0858;726,3
Дек. '17;75,06;-0,0361;552,8
Нояб. '17;77,87;0,0355;552,8
Окт. '17;75,2;-0,0863;552,8
Сент. '17;82,3;0,0135;552,8
Авг. '17;81,2;-0,0293;552,8
Июль '17;83,65;-0,0335;552,8
Июнь '17;86,55;-0,0204;552,8
Май '17;88,35;-0,0995;552,8
Апр. '17;98,11;0,078;552,8
Март '17;91,01;-0,0114;552,8
Февр. '17;92,06;-0,129;552,8
Янв. '17;105,7;0,0849;552,8
Дек. '16;97,43;0,0534;714,4
Нояб. '16;92,49;0,0439;714,4
Окт. '16;88,6;0,0231;714,4
Сент. '16;86,6;0,1501;714,4
Авг. '16;75,3;0,0568;714,4
Июль '16;71,25;0,0283;714,4
Июнь '16;69,29;-0,0165;714,4
Май '16;70,45;-0,0467;714,4
Апр. '16;73,9;0,0618;714,4
Март '16;69,6;0,0014;714,4
Февр. '16;69,5;0,1259;714,4
Янв. '16;61,73;0,1035;714,4
