Дата;Цена;Изменение;Капитализация в млрд. руб
Дек. '19;937,6;0,0326;785,4
Нояб. '19;908;0,0292;785,4
Окт. '19;882,2;-0,0547;785,4
Сент. '19;933,2;-0,0694;785,4
Авг. '19;1.002,80;-0,0253;785,4
Июль '19;1.028,80;-0,0363;785,4
Июнь '19;1.067,60;0,0301;785,4
Май '19;1.036,40;-0,0084;785,4
Апр. '19;1.045,20;0,0167;785,4
Март '19;1.028,00;-0,0008;785,4
Февр. '19;1.028,80;0,0303;785,4
Янв. '19;998,5;0,059;785,4
Дек. '18;942,9;-0,0596;789,9
Нояб. '18;1.002,70;-0,0265;789,9
Окт. '18;1.030,00;-0,0562;789,9
Сент. '18;1.091,30;0,0048;789,9
Авг. '18;1.086,10;0,0645;789,9
Июль '18;1.020,30;0,097;789,9
Июнь '18;930,1;-0,0725;789,9
Май '18;1.002,80;-0,009;789,9
Апр. '18;1.011,90;0,1599;789,9
Март '18;872,4;-0,0501;789,9
Февр. '18;918,4;-0,0008;789,9
Янв. '18;919,1;0,0357;789,9
Дек. '17;887,4;-0,0396;743,4
Нояб. '17;924;0,0286;743,4
Окт. '17;898,3;0,0331;743,4
Сент. '17;869,5;-0,0445;743,4
Авг. '17;910;0,0915;743,4
Июль '17;833,7;0,0744;743,4
Июнь '17;776;0,0508;743,4
Май '17;738,5;-0,0483;743,4
Апр. '17;776;-0,0419;743,4
Март '17;809,9;-0,021;743,4
Февр. '17;827,3;-0,1292;743,4
Янв. '17;950;0,0083;743,4
Дек. '16;942,2;-0,0193;789,1
Нояб. '16;960,7;0,0838;789,1
Окт. '16;886,4;0,1772;789,1
Сент. '16;753;0,0013;789,1
Авг. '16;752;-0,0519;789,1
Июль '16;793,2;0,132;789,1
Июнь '16;700,7;0,045;789,1
Май '16;670,5;-0,0777;789,1
Апр. '16;727;0,0211;789,1
Март '16;712;0,1302;789,1
Февр. '16;630;0,0137;789,1
Янв. '16;621,5;0,0197;789,1
