Дата;Цена;Изменение;Капитализация в млрд. руб
Дек. '19;100;0,0569;73,9
Нояб. '19;94,62;-0,0133;73,9
Окт. '19;95,9;0,0785;73,9
Сент. '19;88,92;-0,0142;73,9
Авг. '19;90,2;0,0058;73,9
Июль '19;89,68;0,0452;73,9
Июнь '19;85,8;0,013;73,9
Май '19;84,7;-0,0423;73,9
Апр. '19;88,44;-0,005;73,9
Март '19;88,88;-0,0004;73,9
Февр. '19;88,92;-0,0218;73,9
Янв. '19;90,9;0,0051;73,9
Дек. '18;90,44;-0,0327;66,8
Нояб. '18;93,5;0,0447;66,8
Окт. '18;89,5;-0,0376;66,8
Сент. '18;93;0,0333;66,8
Авг. '18;90;0,0022;66,8
Июль '18;89,8;-0,0239;66,8
Июнь '18;92;-0,0316;66,8
Май '18;95;0,0171;66,8
Апр. '18;93,4;-0,0316;66,8
Март '18;96,45;0,0657;66,8
Февр. '18;90,5;-0,0216;66,8
Янв. '18;92,5;-0,036;66,8
Дек. '17;95,95;-0,1181;70,9
Нояб. '17;108,8;0,0719;70,9
Окт. '17;101,5;-0,0117;70,9
Сент. '17;102,7;0,028;70,9
Авг. '17;99,9;0,1039;70,9
Июль '17;90,5;-0,0371;70,9
Июнь '17;93,99;0,0173;70,9
Май '17;92,39;0,0212;70,9
Апр. '17;90,47;0,0281;70,9
Март '17;88;0,0361;70,9
;;;
