Дата;Цена;Изменение;Капитализация в млрд. руб
Дек. '19;256,4;-0,0044;6070
Нояб. '19;257,54;-0,0095;6070
Окт. '19;260;0,151;6070
Сент. '19;225,9;-0,0269;6070
Авг. '19;232,15;-0,0201;6070
Июль '19;236,9;0,0175;6070
Июнь '19;232,83;0,0824;6070
Май '19;215,1;0,312;6070
Апр. '19;163,95;0,0958;6070
Март '19;149,61;-0,059;6070
Февр. '19;158,99;-0,0235;6070
Янв. '19;162,82;0,0607;6070
Дек. '18;153,5;-0,0483;3634
Нояб. '18;161,29;0,0374;3634
Окт. '18;155,47;-0,0439;3634
Сент. '18;162,61;0,0844;3634
Авг. '18;149,95;0,0428;3634
Июль '18;143,79;0,0197;3634
Июнь '18;141,01;-0,0275;3634
Май '18;145;-0,0064;3634
Апр. '18;145,93;0,0253;3634
Март '18;142,33;-0,0058;3634
Февр. '18;143,16;-0,0014;3634
Янв. '18;143,36;0,0985;3634
Дек. '17;130,5;-0,0125;3089
Нояб. '17;132,15;0,0496;3089
Окт. '17;125,9;0,0303;3089
Сент. '17;122,2;0,0359;3089
Авг. '17;117,97;0,0161;3089
Июль '17;116,1;-0,0202;3089
Июнь '17;118,49;-0,0149;3089
Май '17;120,28;-0,1204;3089
Апр. '17;136,75;0,0692;3089
Март '17;127,9;-0,0455;3089
Февр. '17;134;-0,1055;3089
Янв. '17;149,8;-0,0307;3089
Дек. '16;154,55;0,0386;3658,6
Нояб. '16;148,8;0,0717;3658,6
Окт. '16;138,84;0,0292;3658,6
Сент. '16;134,9;-0,0004;3658,6
Авг. '16;134,95;-0,0171;3658,6
Июль '16;137,3;-0,0158;3658,6
Июнь '16;139,51;-0,0412;3658,6
Май '16;145,5;-0,1363;3658,6
Апр. '16;168,47;0,1402;3658,6
Март '16;147,75;0,0449;3658,6
Февр. '16;141,4;0,0351;3658,6
Янв. '16;136,6;0,0037;3658,6
