Дата;Цена;Изменение;Капитализация в млрд руб
Янв '16;8850,0;-0,0328;1376
Февр '16;9142,0;0,033;1376
Март '16;8700,0;-0,0483;1376
Апр '16;9409,0;0,0815;1351
Май '16;8990,0;-0,0445;1351
Июнь '16;8540,0;-0,0501;1351
Июль '16;9444,0;0,1059;1552
Авг '16;9571,0;0,0134;1552
Сент '16;9812,0;0,0252;1552
Окт '16;9344,0;-0,0477;1601,8
Нояб '16;10371,0;0,1099;1601,8
Дек '16;10122,0;-0,024;1601,8
Янв '17;9629,0;-0,0487;1412
Февр '17;9311,0;-0,033;1412
Март '17;8929,0;-0,041;1412
Апр '17;8747,0;-0,0204;1276
Май '17;7902,0;-0,0966;1276
Июнь '17;8068,0;0,021;1276
Июль '17;8930,0;0,1068;1569
Авг '17;9790,0;0,0963;1569
Сент '17;9920,0;0,0133;1569
Окт '17;10592,0;0,0677;1717
Нояб '17;9876,0;-0,0676;1717
Дек '17;10850,0;0,0986;1717
Янв '18;11608,0;0,0699;1702
Февр '18;11159,0;-0,0387;1702
Март '18;10760,0;-0,0358;1702
Апр '18;10814,0;0,005;1803
Май '18;11111,0;0,0275;1803
Июнь '18;11399,0;0,0259;1803
Июль '18;10882,0;-0,0454;1802
Авг '18;11220,0;0,0311;1802
Сент '18;11388,0;0,015;1802
Окт '18;11000,0;-0,0341;2063
Нояб '18;12738,0;0,158;2063
Дек '18;13039,0;0,0236;2063
Янв '19;13596,0;0,0427;2171
Февр '19;14114,0;0,0381;2171
Март '19;13720,0;-0,0279;2171
Апр '19;14342,0;0,0453;2264
Май '19;13718,0;-0,0435;2264
Июнь '19;14308,0;0,043;2264
Июль '19;14646,0;0,0236;2640
Авг '19;16088,0;0,0985;2640
Сент '19;16686,0;0,0372;2640
Окт '19;17888,0;0,072;3023
Нояб '19;17046,0;-0,0471;3023
Дек '19;19102,0;0,1206;3023
