Дата;Цена;Изм. %
Дек. '19;764;0,53%
Нояб. '19;760;7,07%
Окт. '19;709,8;-1,69%
Сент. '19;722;-5,42%
Авг. '19;763,4;-1,98%
Июль '19;778,8;-0,43%
Июнь '19;782,2;12,84%
Май '19;693,2;4,08%
Апр. '19;666;0,91%
Март '19;660;3,55%
Февр. '19;637,4;-2,84%
Янв. '19;656;9,74%
Дек. '18;597,8;-6,45%
Нояб. '18;639;1,51%
Окт. '18;629,5;-6,88%
Сент. '18;676;-6,24%
Авг. '18;721;-6,85%
Июль '18;774;-8,89%
Июнь '18;849,5;1,55%
Май '18;836,5;0,06%
Апр. '18;836;-4,35%
Март '18;874;1,75%
Февр. '18;859;2,02%
Янв. '18;842;1,88%
Дек. '17;826,5;3,83%
Нояб. '17;796;-2,33%
Окт. '17;815;0,99%
Сент. '17;807;3,53%
Авг. '17;779,5;7,52%
Июль '17;725;-11,59%
Июнь '17;820;-9,54%
Май '17;906,5;4,20%
Апр. '17;870;-6,15%
Март '17;927;-2,68%
Февр. '17;952,5;-4,85%
Янв. '17;1.001,00;5,15%
Дек. '16;952;3,87%
Нояб. '16;916,5;4,21%
Окт. '16;879,5;-1,29%
Сент. '16;891;1,48%
Авг. '16;878;-3,25%
Июль '16;907,5;10,27%
Июнь '16;823;16,24%
Май '16;708;9,09%
Апр. '16;649;-4,77%
Март '16;681,5;14,73%
Февр. '16;594;-4,81%
Янв. '16;624;-7,28%
