Дата;Цена;Изм. %
Дек. '19;107,75;1,94%
Нояб. '19;105,7;11,23%
Окт. '19;95,03;0,31%
Сент. '19;94,74;0,13%
Авг. '19;94,62;1,57%
Июль '19;93,16;3,34%
Июнь '19;90,15;6,37%
Май '19;84,75;-6,92%
Апр. '19;91,05;-0,27%
Март '19;91,3;0,09%
Февр. '19;91,22;-1,72%
Янв. '19;92,82;14,59%
Дек. '18;81;-9,52%
Нояб. '18;89,52;1,84%
Окт. '18;87,9;-9,57%
Сент. '18;97,2;-0,86%
Авг. '18;98,04;-4,82%
Июль '18;103;-5,14%
Июнь '18;108,58;-3,56%
Май '18;112,59;-6,76%
Апр. '18;120,75;3,21%
Март '18;117;4,60%
Февр. '18;111,85;-2,74%
Янв. '18;115;5,53%
Дек. '17;108,97;-12,30%
Нояб. '17;124,25;5,28%
Окт. '17;118,02;2,18%
Сент. '17;115,5;9,59%
Авг. '17;105,39;-1,55%
Июль '17;107,05;2,61%
Июнь '17;104,33;3,30%
Май '17;101;-12,21%
Апр. '17;115,05;3,17%
Март '17;111,51;-9,71%
Февр. '17;123,5;-7,97%
Янв. '17;134,2;6,86%
Дек. '16;125,59;6,12%
Нояб. '16;118,35;1,41%
Окт. '16;116,71;-7,81%
Сент. '16;126,6;-0,37%
Авг. '16;127,07;11,95%
Июль '16;113,51;0,88%
Июнь '16;112,52;2,85%
Май '16;109,4;7,10%
Апр. '16;102,15;-2,76%
Март '16;105,05;6,11%
Февр. '16;99;3,14%
Янв. '16;95,99;5,02%
