Дата;Цена;Изм. %
Дек. '19;319,95;5,07%
Нояб. '19;304,5;6,84%
Окт. '19;285;7,55%
Сент. '19;265;-0,51%
Авг. '19;266,35;0,51%
Июль '19;265;-6,98%
Июнь '19;284,9;11,38%
Май '19;255,8;0,35%
Апр. '19;254,9;0,97%
Март '19;252,45;-0,22%
Февр. '19;253;-2,97%
Янв. '19;260,75;9,56%
Дек. '18;238;-3,86%
Нояб. '18;247,55;-3,90%
Окт. '18;257,6;-5,47%
Сент. '18;272,5;4,03%
Авг. '18;261,95;-0,70%
Июль '18;263,8;-5,14%
Июнь '18;278,1;-1,52%
Май '18;282,4;-4,72%
Апр. '18;296,4;0,76%
Март '18;294,15;-4,37%
Февр. '18;307,6;-0,45%
Янв. '18;309;11,96%
Дек. '17;276;-3,00%
Нояб. '17;284,55;1,08%
Окт. '17;281,5;-0,19%
Сент. '17;282,05;4,46%
Авг. '17;270;14,31%
Июль '17;236,2;0,72%
Июнь '17;234,5;-0,85%
Май '17;236,5;-13,64%
Апр. '17;273,85;0,46%
Март '17;272,6;-1,05%
Февр. '17;275,5;-0,07%
Янв. '17;275,7;6,45%
Дек. '16;259;12,49%
Нояб. '16;230,25;3,02%
Окт. '16;223,5;-1,76%
Сент. '16;227,5;-4,85%
Авг. '16;239,1;-5,12%
Июль '16;252;3,68%
Июнь '16;243,05;-5,48%
Май '16;257,15;1,64%
Апр. '16;253;5,37%
Март '16;240,1;3,05%
Февр. '16;233;3,10%
Янв. '16;226;7,62%
