Дата;Цена;Изм. %
Дек. '19;143,72;11,05%
Нояб. '19;129,42;3,50%
Окт. '19;125,04;-12,08%
Сент. '19;142,22;-4,45%
Авг. '19;148,84;-1,37%
Июль '19;150,9;-5,51%
Июнь '19;159,7;-7,32%
Май '19;172,32;0,71%
Апр. '19;171,1;0,35%
Март '19;170,5;7,61%
Февр. '19;158,44;4,22%
Янв. '19;152,02;-3,43%
Дек. '18;157,42;-0,59%
Нояб. '18;158,36;-1,28%
Окт. '18;160,42;-9,83%
Сент. '18;177,9;7,39%
Авг. '18;165,66;2,01%
Июль '18;162,4;6,95%
Июнь '18;151,84;-6,93%
Май '18;163,15;1,23%
Апр. '18;161,16;12,31%
Март '18;143,5;-1,78%
Февр. '18;146,1;-0,61%
Янв. '18;147;-0,15%
Дек. '17;147,22;11,32%
Нояб. '17;132,25;-0,72%
Окт. '17;133,21;0,70%
Сент. '17;132,29;-5,45%
Авг. '17;139,92;11,94%
Июль '17;125;8,08%
Июнь '17;115,65;0,13%
Май '17;115,5;7,19%
Апр. '17;107,75;-4,74%
Март '17;113,11;0,41%
Февр. '17;112,65;-4,57%
Янв. '17;118,05;2,67%
Дек. '16;114,98;-2,51%
Нояб. '16;117,94;15,01%
Окт. '16;102,55;23,64%
Сент. '16;82,94;-7,84%
Авг. '16;90;-5,55%
Июль '16;95,29;14,81%
Июнь '16;83;-3,48%
Май '16;85,99;-3,65%
Апр. '16;89,25;7,07%
Март '16;83,36;13,26%
Февр. '16;73,6;12,37%
Янв. '16;65,5;4,63%
