Дата;Цена;Изм. %
Дек. '19;1.262,00;-0,44%
Нояб. '19;1.267,60;-6,79%
Окт. '19;1.360,00;3,63%
Сент. '19;1.312,40;1,89%
Авг. '19;1.288,00;-2,39%
Июль '19;1.319,60;-1,33%
Июнь '19;1.337,40;1,09%
Май '19;1.323,00;9,77%
Апр. '19;1.205,20;11,78%
Март '19;1.078,20;-0,20%
Февр. '19;1.080,40;-5,64%
Янв. '19;1.145,00;1,15%
Дек. '18;1.132,00;0,43%
Нояб. '18;1.127,20;7,37%
Окт. '18;1.049,80;-10,14%
Сент. '18;1.168,20;7,87%
Авг. '18;1.083,00;17,16%
Июль '18;924,4;8,40%
Июнь '18;852,8;1,74%
Май '18;838,2;8,86%
Апр. '18;770;4,39%
Март '18;737,6;3,89%
Февр. '18;710;-2,43%
Янв. '18;727,7;7,38%
Дек. '17;677,7;4,26%
Нояб. '17;650;-0,15%
Окт. '17;651;-1,96%
Сент. '17;664;10,80%
Авг. '17;599,3;-1,38%
Июль '17;607,7;-5,86%
Июнь '17;645,5;0,70%
Май '17;641;-7,82%
Апр. '17;695,4;-1,35%
Март '17;704,9;-6,51%
Февр. '17;754;-0,76%
Янв. '17;759,8;-4,05%
Дек. '16;791,9;8,18%
Нояб. '16;732;10,77%
Окт. '16;660,8;-3,18%
Сент. '16;682,5;-0,35%
Авг. '16;684,9;5,68%
Июль '16;648,1;0,08%
Июнь '16;647,6;-1,79%
Май '16;659,4;7,60%
Апр. '16;612,8;2,47%
Март '16;598;-7,43%
Февр. '16;646;1,06%
Янв. '16;639,2;8,16%
