Дата;Цена;Изменение;Капитализация в млрд. руб
Дек. '19;400,4;0,0381;264
Нояб. '19;385,7;0,1083;264
Окт. '19;348;-0,1311;264
Сент. '19;400,5;0,0341;264
Авг. '19;387,3;-0,0195;264
Июль '19;395;0,0536;264
Июнь '19;374,9;0,0176;247
Май '19;368,4;0,0079;247
Апр. '19;365,5;0,0331;247
Март '19;353,8;-0,0145;233
Февр. '19;359;0,0199;233
Янв. '19;352;-0,0646;233
Дек. '18;376,3;0,0718;248
Нояб. '18;351,1;-0,0034;248
Окт. '18;352,3;0,0135;248
Сент. '18;347,6;-0,0451;229
Авг. '18;364;0,0628;229
Июль '18;342,5;0,0254;229
Июнь '18;334;0,0127;220
Май '18;329,8;0,0767;220
Апр. '18;306,3;-0,0282;220
Март '18;315,2;-0,0245;208
Февр. '18;323,1;0,0559;208
Янв. '18;306;-0,0628;208
Дек. '17;326,5;0,0898;215
Нояб. '17;299,6;-0,0385;215
Окт. '17;311,6;-0,0149;215
Сент. '17;316,3;0,0911;208
Авг. '17;289,9;-0,0099;208
Июль '17;292,8;-0,0138;208
Июнь '17;296,9;-0,0169;196
Май '17;302;0,0479;196
Апр. '17;288,2;-0,0283;196
Март '17;296,6;0,0228;196
Февр. '17;290;0,0143;196
Янв. '17;285,9;-0,0141;196
Дек. '16;290;0,0394;191
Нояб. '16;279;-0,0211;191
Окт. '16;285;-0,024;191
Сент. '16;292;0,0743;165
Авг. '16;271,8;0,0872;165
Июль '16;250;0;165
Июнь '16;250;-0,004;165
Май '16;251;0,0028;165
Апр. '16;250,3;-0,004;165
Март '16;251,3;0,0044;165
Февр. '16;250,2;0,1909;165
Янв. '16;210,1;-0,0406;165
