Дата;Цена;Изм. %
Дек. '19;970,88;0,54%
Нояб. '19;965,68;-8,19%
Окт. '19;1.051,87;15,26%
Сент. '19;912,59;-5,39%
Авг. '19;964,58;25,24%
Июль '19;770,21;-4,05%
Июнь '19;802,7;14,60%
Май '19;700,41;3,26%
Апр. '19;678,32;-8,06%
Март '19;737,81;-5,15%
Февр. '19;777,91;4,16%
Янв. '19;746,81;2,15%
Дек. '18;731,11;9,58%
Нояб. '18;667,22;9,75%
Окт. '18;607,93;15,55%
Сент. '18;526,14;-8,20%
Авг. '18;573,13;5,17%
Июль '18;544,93;-1,48%
Июнь '18;553,13;-3,29%
Май '18;571,93;-9,39%
Апр. '18;631,22;6,69%
Март '18;591,63;-0,39%
Февр. '18;593,93;-10,77%
Янв. '18;665,62;-5,79%
Дек. '17;706,52;0,40%
Нояб. '17;703,72;4,17%
Окт. '17;675,52;3,97%
Сент. '17;649,72;-3,65%
Авг. '17;674,32;-7,87%
Июль '17;731,91;9,75%
Июнь '17;666,92;-10,05%
Май '17;741,41;-1,66%
Апр. '17;753,91;7,95%
Март '17;698,41;1,09%
Февр. '17;690,92;-0,14%
Янв. '17;691,92;8,38%
Дек. '16;638,42;6,51%
Нояб. '16;599,41;-11,43%
Окт. '16;676,74;-13,58%
Сент. '16;783,13;-13,02%
Авг. '16;900,35;-5,92%
Июль '16;956,99;10,21%
Июнь '16;868,33;15,08%
Май '16;754,56;14,76%
Апр. '16;657,53;1,83%
Март '16;645,71;-4,86%
Февр. '16;678,71;11,13%
Янв. '16;610,74;0,32%
