Дата;Цена;Изм. %
Дек. '19;254,75;8,88%
Нояб. '19;233,98;-0,39%
Окт. '19;234,89;3,15%
Сент. '19;227,71;1,57%
Авг. '19;224,2;-3,98%
Июль '19;233,49;-2,12%
Июнь '19;238,55;2,28%
Май '19;233,24;3,58%
Апр. '19;225,17;5,01%
Март '19;214,42;3,19%
Февр. '19;207,8;-4,64%
Янв. '19;217,9;16,96%
Дек. '18;186,3;-3,97%
Нояб. '18;194;2,21%
Окт. '18;189,8;-6,65%
Сент. '18;203,32;11,71%
Авг. '18;182;-15,29%
Июль '18;214,86;-1,44%
Июнь '18;218;-1,96%
Май '18;222,36;-2,04%
Апр. '18;226,99;-10,48%
Март '18;253,57;-6,91%
Февр. '18;272,4;2,99%
Янв. '18;264,5;17,45%
Дек. '17;225,2;0,38%
Нояб. '17;224,35;15,76%
Окт. '17;193,8;0,76%
Сент. '17;192,33;4,81%
Авг. '17;183,51;11,54%
Июль '17;164,53;13,01%
Июнь '17;145,59;-6,63%
Май '17;155,93;-5,61%
Апр. '17;165,2;3,38%
Март '17;159,8;2,44%
Февр. '17;156;-9,41%
Янв. '17;172,2;-0,61%
Дек. '16;173,25;9,17%
Нояб. '16;158,7;7,67%
Окт. '16;147,4;1,42%
Сент. '16;145,34;1,28%
Авг. '16;143,5;3,13%
Июль '16;139,15;4,62%
Июнь '16;133;0,33%
Май '16;132,56;7,29%
Апр. '16;123,55;12,42%
Март '16;109,9;2,71%
Февр. '16;107;10,88%
Янв. '16;96,5;-4,70%
