Дата;Цена;Изм. %
Дек. '19;759,7;2,61%
Нояб. '19;740,4;-1,04%
Окт. '19;748,2;8,84%
Сент. '19;687,4;-7,50%
Авг. '19;743,1;-0,01%
Июль '19;743,2;-4,09%
Июнь '19;774,9;3,53%
Май '19;748,5;-1,19%
Апр. '19;757,5;0,33%
Март '19;755;-2,72%
Февр. '19;776,1;-3,82%
Янв. '19;806,9;9,35%
Дек. '18;737,9;3,54%
Нояб. '18;712,7;-9,14%
Окт. '18;784,4;-6,10%
Сент. '18;835,4;6,68%
Авг. '18;783,1;8,55%
Июль '18;721,4;6,72%
Июнь '18;675,95;1,42%
Май '18;666,5;-0,68%
Апр. '18;671,05;9,72%
Март '18;611,6;2,96%
Февр. '18;594;5,10%
Янв. '18;565,2;18,05%
Дек. '17;478,8;4,84%
Нояб. '17;456,7;4,75%
Окт. '17;436;6,02%
Сент. '17;411,25;5,99%
Авг. '17;388;-0,54%
Июль '17;390,1;3,86%
Июнь '17;375,6;-2,31%
Май '17;384,5;1,99%
Апр. '17;377;8,44%
Март '17;347,65;1,97%
Февр. '17;340,95;-16,17%
Янв. '17;406,7;-4,75%
Дек. '16;427;9,97%
Нояб. '16;388,3;9,38%
Окт. '16;355;10,85%
Сент. '16;320,25;0,79%
Авг. '16;317,75;0,09%
Июль '16;317,45;-4,24%
Июнь '16;331,5;9,84%
Май '16;301,8;-11,48%
Апр. '16;340,95;-5,55%
Март '16;361;11,66%
Февр. '16;323,3;-4,79%
Янв. '16;339,55;6,91%
