Дата;Цена;Изм. %
Дек. '19;0,0459;1,26%
Нояб. '19;0,04533;5,20%
Окт. '19;0,04309;1,16%
Сент. '19;0,042595;10,12%
Авг. '19;0,03868;-8,99%
Июль '19;0,0425;6,57%
Июнь '19;0,03988;8,65%
Май '19;0,036705;3,39%
Апр. '19;0,0355;-0,41%
Март '19;0,035645;-0,71%
Февр. '19;0,0359;-4,95%
Янв. '19;0,03777;11,58%
Дек. '18;0,03385;-9,25%
Нояб. '18;0,0373;1,97%
Окт. '18;0,03658;-10,26%
Сент. '18;0,04076;-1,55%
Авг. '18;0,0414;-14,25%
Июль '18;0,04828;0,56%
Июнь '18;0,04801;-3,77%
Май '18;0,04989;-7,56%
Апр. '18;0,05397;4,47%
Март '18;0,05166;-2,08%
Февр. '18;0,05276;6,80%
Янв. '18;0,0494;4,40%
Дек. '17;0,04732;-6,81%
Нояб. '17;0,05078;-15,37%
Окт. '17;0,06;-2,58%
Сент. '17;0,06159;-4,60%
Авг. '17;0,06456;8,16%
Июль '17;0,05969;-6,73%
Июнь '17;0,064;-3,25%
Май '17;0,06615;-0,84%
Апр. '17;0,06671;0,69%
Март '17;0,06625;0,26%
Февр. '17;0,06608;-4,19%
Янв. '17;0,06897;-6,80%
Дек. '16;0,074;6,63%
Нояб. '16;0,0694;2,44%
Окт. '16;0,06775;-6,03%
Сент. '16;0,0721;5,27%
Авг. '16;0,06849;1,60%
Июль '16;0,06741;-0,87%
Июнь '16;0,068;-0,58%
Май '16;0,0684;-2,36%
Апр. '16;0,07005;-8,65%
Март '16;0,07668;4,47%
Февр. '16;0,0734;-0,41%
Янв. '16;0,0737;-7,53%
