Дата;Цена;Изменение;Капитализация в млрд. руб
Дек. '19;2.697,0;0,0015;890
Нояб. '19;2.693,0;0,2668;890
Окт. '19;2.125,8;-0,0608;890
Сент. '19;2.263,4;-0,081;747
Авг. '19;2.462,8;-0,0109;747
Июль '19;2.490,0;0,0352;747
Июнь '19;2.405,4;0,0294;794
Май '19;2.336,6;-0,0228;794
Апр. '19;2.391,0;0,0425;794
Март '19;2.293,6;0,0388;757
Февр. '19;2.208,0;-0,0018;757
Янв. '19;2.212,0;0,1461;757
Дек. '18;1.930,0;-0,0178;637
Нояб. '18;1.965,0;0,0253;637
Окт. '18;1.916,5;-0,1129;637
Сент. '18;2.160,5;0,0049;713
Авг. '18;2.150,0;-0,0444;713
Июль '18;2.250,0;0,0027;713
Июнь '18;2.244,0;0,0807;740
Май '18;2.076,5;-0,01;740
Апр. '18;2.097,5;-0,0829;740
Март '18;2.287,0;-0,0241;754
Февр. '18;2.343,5;0,0755;754
Янв. '18;2.179,0;0,1505;754
Дек. '17;1.894,0;-0,024;625
Нояб. '17;1.940,5;-0,0049;625
Окт. '17;1.950,0;0,0411;625
Сент. '17;1.873,0;0,0691;618
Авг. '17;1.752,0;0,0052;618
Июль '17;1.743,0;0,1348;618
Июнь '17;1.536,0;0,0206;507
Май '17;1.505,0;-0,0192;507
Апр. '17;1.534,5;0,232;507
Март '17;1.245,5;-0,0635;410
Февр. '17;1.330,0;-0,0355;410
Янв. '17;1.379,0;0,1054;410
Дек. '16;1.247,5;0,0383;411
Нояб. '16;1.201,5;-0,0434;411
Окт. '16;1.256,0;-0,0634;411
Сент. '16;1.341,0;-0,0609;378
Авг. '16;1.428,0;-0,0097;378
Июль '16;1.442,0;0,0307;378
Июнь '16;1.399,0;0,031;449
Май '16;1.357,0;0,043;449
Апр. '16;1.301,0;0,273;449
Март '16;1.022,0;0,045;328
Февр. '16;978;-0,0288;328
Янв. '16;1.007,0;-0,1221;328
